ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC04050;2;2016-03-02;9;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;23/07/2022;1;1;1;NO APLICA;2
SEC04051;2;2016-03-02;9;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;23/07/2022;1;1;1;NO APLICA;2
SEC04052;2;2015-11-16;9;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;20/04/2023;1;1;1;NO APLICA;2
SEC04053;1;2016-03-23;9;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;SAN ROMAN;JULIACA;23/04/2024;1;1;1;NO APLICA;2
SEC04054;1;2016-05-11;9;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;AREQUIPA;18/11/2024;1;1;2;2025-06-20;2
SEC04055;2;2012-07-18;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;18/03/2025;1;1;1;NO APLICA;2
SEC04056;1;2013-06-25;12;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;AREQUIPA;18/11/2024;1;1;2;2025-06-20;2
SEC04057;2;2014-04-21;11;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;17/02/2023;1;1;1;NO APLICA;2
SEC04058;1;2017-03-22;8;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CIUDAD NUEVA;19/06/2024;1;1;1;NO APLICA;2
SEC04059;2;2017-07-25;8;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;24/11/2023;1;1;1;NO APLICA;2
SEC04060;2;2018-06-16;7;3;PERÚ;2;EDUCADORES DE CALLE;PUNO;PUNO;PUNO;18/10/2023;1;1;1;NO APLICA;2
SEC04061;1;2011-06-22;14;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;25/01/2023;1;1;2;2025-02-24;2
SEC04062;2;2016-06-20;9;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;25/01/2023;1;1;2;2025-04-23;2
SEC04063;1;2008-05-08;17;4;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;IQUITOS;6/07/2022;1;1;1;NO APLICA;2
SEC04064;1;2010-11-10;14;4;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;IQUITOS;6/07/2022;1;1;1;NO APLICA;2
SEC04065;1;2013-04-10;12;4;PERÚ;2;EDUCADORES DE CALLE;PUNO;SAN ROMAN;JULIACA;20/03/2025;1;1;2;2025-04-20;2
SEC04066;2;2009-09-07;15;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;POCOLLAY;6/06/2023;1;1;1;NO APLICA;2
SEC04067;2;2011-09-15;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;POCOLLAY;6/06/2023;1;1;1;NO APLICA;2
SEC04068;1;2017-10-05;7;3;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;30/11/2023;1;1;1;NO APLICA;2
SEC04069;2;2018-01-18;7;3;PERÚ;2;EDUCADORES DE CALLE;UCAYALI;CORONEL PORTILLO;YARINACOCHA;7/04/2025;1;1;1;NO APLICA;2
SEC04070;2;2020-11-07;4;2;PERÚ;2;EDUCADORES DE CALLE;UCAYALI;CORONEL PORTILLO;YARINACOCHA;7/04/2025;1;1;1;NO APLICA;2
SEC04071;2;2018-07-18;7;3;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;SAN JUAN BAUTISTA;28/03/2023;1;1;1;NO APLICA;2
SEC04072;2;2009-09-12;15;4;PERÚ;2;EDUCADORES DE CALLE;ICA;CHINCHA;CHINCHA ALTA;25/03/2024;1;1;1;NO APLICA;2
SEC04073;2;2011-03-11;14;4;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;25/09/2023;1;1;1;NO APLICA;1
SEC04074;1;2015-07-09;10;3;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;3/01/2024;1;1;1;NO APLICA;2
SEC04075;1;2016-07-26;9;3;PERÚ;2;EDUCADORES DE CALLE;JUNÍN;HUANCAYO;HUANCAYO;25/09/2023;1;1;1;NO APLICA;1
SEC04076;2;2013-02-28;12;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;20/12/2022;1;1;2;2025-03-24;2
SEC04077;2;2014-01-22;11;3;PERÚ;2;EDUCADORES DE CALLE;ICA;CHINCHA;CHINCHA ALTA;25/03/2024;1;1;1;NO APLICA;2
SEC04078;2;2009-07-03;16;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;26/10/2022;1;5;2;2025-05-26;2
SEC04079;2;2009-07-04;16;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;26/10/2022;1;5;2;2025-05-26;2
SEC04080;2;2017-10-10;7;3;PERÚ;2;EDUCADORES DE CALLE;PIURA;SULLANA;SULLANA;24/09/2024;1;1;1;NO APLICA;2
SEC04081;1;2009-07-22;16;4;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;23/01/2024;1;1;1;NO APLICA;2
SEC04082;1;2011-05-31;14;4;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;23/01/2024;1;1;1;NO APLICA;2
