ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
6******0EBL;2;2011-02-16;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-19;1;1;1;NO APLICA;2
7******9ERD;1;2015-08-31;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-11-22;1;1;1;NO APLICA;2
8******9ELS;2;2012-09-10;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2021-03-02;1;1;1;NO APLICA;2
7******5ELL;2;2014-02-15;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-19;1;1;1;NO APLICA;2
7******1ELZ;1;2016-09-02;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-19;1;1;1;NO APLICA;2
7******9FCL;2;2016-12-10;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-25;1;1;1;NO APLICA;2
9******2FCC;1;2020-07-19;4;2;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-20;1;1;1;NO APLICA;2
7******7FCB;1;2015-11-18;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-10-16;1;1;1;NO APLICA;2
7******7FHL;2;2014-07-06;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-05-24;1;1;1;NO APLICA;2
6******5FHA;1;2011-08-22;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-04-17;1;1;1;NO APLICA;2
6******8FTL;1;2008-04-23;16;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2019-07-23;1;1;1;NO APLICA;1
